,additional_info,address,latitude,longitude,name,phone_number,type,url
11810,Yelp Rating: 4.0 Reviews: 1,1434 Jerome Ave,40.841056599561,-73.9169002,CTown Supermarket,17182932005,Food,https://www.yelp.com/biz/ctown-supermarket-bronx-3?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11811,Yelp Rating: 3.0 Reviews: 2,7 E 170th St,40.8402424,-73.9173266,Sam's Grocery,17182932897,Food,https://www.yelp.com/biz/sams-grocery-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11812,Yelp Rating: 5.0 Reviews: 1,1405 Walton Ave,40.839868,-73.916051,MDS Walton Food,13472718282,Food,https://www.yelp.com/biz/mds-walton-food-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11813,Yelp Rating: 1.5 Reviews: 3,1396 Jerome Ave,40.839941499999995,-73.9176892,C & S Liquor,17185387575,Food,https://www.yelp.com/biz/c-and-s-liquor-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11814,Yelp Rating: 2.5 Reviews: 4,1540 Grand Concourse,40.841373056173296,-73.91229473054409,Rite Aid,17187318733,Food,https://www.yelp.com/biz/rite-aid-bronx-20?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11815,Yelp Rating: 1.0 Reviews: 1,1417 Wythe Pl,40.839867,-73.914812,"Juan Pilarte, MD",17182933566,Health,https://www.yelp.com/biz/juan-pilarte-md-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11816,Yelp Rating: 3.0 Reviews: 8,1896 Jerome Ave,40.8498441427946,-73.9107464253902,Las Sirenas Restaurant,19177923395,Restaurants,https://www.yelp.com/biz/las-sirenas-restaurant-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11817,Yelp Rating: 3.0 Reviews: 2,123 E Tremont Ave,40.850609999999996,-73.90693,Golden Dragon Restaurant,17187166800,Restaurants,https://www.yelp.com/biz/golden-dragon-restaurant-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11818,Yelp Rating: 4.0 Reviews: 4,221 E Tremont Ave,40.8492889,-73.90484620000001,Peking,17182991728,Restaurants,https://www.yelp.com/biz/peking-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11819,Yelp Rating: 2.5 Reviews: 8,1977 Jerome Ave,40.8522562010561,-73.9089058145013,Jimbo's Hamburger Palace,17185637187,Restaurants,https://www.yelp.com/biz/jimbos-hamburger-palace-morris-heights-2?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
