,name,borough,latitude,longitude
52,Sheepshead Bay,Brooklyn,40.58689012678388,-73.94318640482987
53,Manhattan Terrace,Brooklyn,40.61443251335102,-73.95743840559946
54,Flatbush,Brooklyn,40.63632589026681,-73.95840106533912
55,Crown Heights,Brooklyn,40.67082917695298,-73.9432911907359
56,East Flatbush,Brooklyn,40.64171776668965,-73.93610256185843
57,Kensington,Brooklyn,40.64238195800357,-73.98042110559481
58,Windsor Terrace,Brooklyn,40.65694583575108,-73.98007340430179
59,Prospect Heights,Brooklyn,40.67682226225477,-73.96485924262697
60,Brownsville,Brooklyn,40.66394994339758,-73.91023536176615
61,Williamsburg,Brooklyn,40.70714439344255,-73.95811529220936
62,Bushwick,Brooklyn,40.69811611017905,-73.92525797487053
63,Bedford Stuyvesant,Brooklyn,40.6872316077205,-73.94178488690304
64,Brooklyn Heights,Brooklyn,40.69586372272413,-73.99378225496432
65,Cobble Hill,Brooklyn,40.68791972248561,-73.9985613921847
66,Carroll Gardens,Brooklyn,40.68213188564184,-74.00037274122076
67,Red Hook,Brooklyn,40.67625323025092,-74.01275897473568
68,Gowanus,Brooklyn,40.6739311431872,-73.99444087145346
69,Fort Greene,Brooklyn,40.68852726018982,-73.97290574369099
70,Park Slope,Brooklyn,40.67232052268201,-73.97705030183931
71,Cypress Hills,Brooklyn,40.6846357939163,-73.87583132262635
72,East New York,Brooklyn,40.66992570084708,-73.88069863917373
73,Starrett City,Brooklyn,40.64758905230878,-73.87936970045882
74,Canarsie,Brooklyn,40.63556432797432,-73.90209269778973
75,Flatlands,Brooklyn,40.6304460437575,-73.92911302644681
76,Mill Island,Brooklyn,40.60633642168567,-73.90818571777432
77,Manhattan Beach,Brooklyn,40.57791350308661,-73.94353722891894
78,Coney Island,Brooklyn,40.57429256471605,-73.98868295821644
79,Bath Beach,Brooklyn,40.59951870282242,-73.99875221443526
80,Borough Park,Brooklyn,40.63313051275805,-73.99049823044818
81,Dyker Heights,Brooklyn,40.61921945772268,-74.01931375636029
82,Gerritsen Beach,Brooklyn,40.59084843390208,-73.93010170691203
83,Marine Park,Brooklyn,40.60974777989464,-73.93134404108504
84,Clinton Hill,Brooklyn,40.69322942188155,-73.96784306216374
85,Sea Gate,Brooklyn,40.57637537890228,-74.00787311200247
86,Downtown,Brooklyn,40.69084402109806,-73.98346337431106
87,Boerum Hill,Brooklyn,40.68724138065738,-73.98357724689187
88,Prospect Lefferts Gardens,Brooklyn,40.65842001746986,-73.9548986707772
89,Ocean Hill,Brooklyn,40.6784025547954,-73.91306831787404
90,City Line,Brooklyn,40.67856995727482,-73.86797598081343
91,Bergen Beach,Brooklyn,40.61514955045313,-73.89855633630324
92,Midwood,Brooklyn,40.62559589869847,-73.95759523489846
93,Prospect Park South,Brooklyn,40.64700860318523,-73.96261316716055
94,Georgetown,Brooklyn,40.62384524478423,-73.91607483951331
95,Spring Creek,Brooklyn,40.65713927658277,-73.86998779106547
96,East Williamsburg,Brooklyn,40.70849241041552,-73.93885815269203
97,North Side,Brooklyn,40.71482290653206,-73.95880857587589
98,South Side,Brooklyn,40.71086147265068,-73.95800095153338
